target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_pyalgotrade	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 ['bar'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の結果: p3-trade: not_supported / p3-book_snapshot: not_supported / p3-book_delta: not_supported / p3-bar: ok 受けた型 ['bar'] / p3-funding: not_supported / p3-liquidation: not_supported)	null
opp_pyalgotrade	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	足 5 本。onBars の各回に getCurrentDateTime()	"{""carriers"": [{""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}, {""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}, {""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}, {""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}, {""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}]}"
opp_pyalgotrade	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 ['bar'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の結果: p3-trade: not_supported / p3-book_snapshot: not_supported / p3-book_delta: not_supported / p3-bar: ok 受けた型 ['bar'] / p3-funding: not_supported / p3-liquidation: not_supported)	null
opp_pyalgotrade	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	ISO の文字列を Date Time の列に書いた CSV を GenericBarFeed.addBarsFromCSV で読んだ(既定の書式 '%Y-%m-%d %H:%M:%S')-> ValueError: time data '2024-01-01T00:00:00.123456789Z' does not match format '%Y-%m-%d %H:%M:%S'	null
opp_pyalgotrade	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	ISO の文字列を Date Time の列に書いた CSV を GenericBarFeed.addBarsFromCSV で読んだ(既定の書式 '%Y-%m-%d %H:%M:%S')-> ValueError: time data '2024-01-01T09:00:00.123456789+09:00' does not match format '%Y-%m-%d %H:%M:%S'	null
opp_pyalgotrade	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456000]}"	ok	"{""observed_ts_ns"": [1700006400123456000]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足で渡し(datetime はマイクロ秒まで)、getCurrentDateTime()	"{""carriers"": [{""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}]}"
opp_pyalgotrade	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足で渡して走らせた -> Exception: Duplicate bars found for ['X'] on 2023-11-15 00:00:00	null
opp_pyalgotrade	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	PyAlgoTrade のデータは bar feed(足)だけで、trade の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['price', 'qty', 'side'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'	null
opp_pyalgotrade	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	PyAlgoTrade のデータは bar feed(足)だけで、book_snapshot の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['asks', 'bids'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'	null
opp_pyalgotrade	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	PyAlgoTrade のデータは bar feed(足)だけで、book_delta の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['price', 'qty', 'side'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'	null
opp_pyalgotrade	p3-bar	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	足 1 本。onBars の bars[銘柄]	"{""carriers"": [{""held_by"": ""pyalgotrade_adapter.py:run:feed"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dispatcher.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/observer.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py""], ""returned_by"": null, ""type"": ""pyalgotrade.bar.BasicBar"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/bar.py""}]}"
opp_pyalgotrade	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	PyAlgoTrade のデータは bar feed(足)だけで、funding の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['rate'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'	null
opp_pyalgotrade	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	PyAlgoTrade のデータは bar feed(足)だけで、liquidation の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['price', 'qty', 'side'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'	null
opp_pyalgotrade	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	PyAlgoTrade のデータは bar feed(足)だけで、足以外の 5 種 の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['price', 'qty', 'side'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'	null
opp_pyalgotrade	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	時刻を頼んで呼ばれる口が無い(onIdle は事象が無いときに呼ぶだけで時刻を頼めない。timer/schedule の名前: [])。試したこと: strategy.addTimer(...) -> AttributeError: 'S' object has no attribute 'addTimer'	null
opp_pyalgotrade	p3-notice-accepted	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""notices"": [""accepted""]}"	ok	"{""notices"": [""accepted""]}"	"{""notices"": [""accepted""]}"	約定を足に代えた(any_type)。onOrderUpdated の状態の列(SUBMITTED は数えない): ['2', '3']	null
opp_pyalgotrade	p3-notice-rejected	P0-3	capability	不一致	不一致	2 回の実行で同じ	ok	"{""notices"": [""accepted"", ""canceled""]}"	ok	"{""notices"": [""accepted"", ""canceled""]}"	"{""notices"": [""rejected""]}"	現金 1,000。成行 1。onOrderUpdated の状態: ['2', '3', '4']	null
opp_pyalgotrade	p3-notice-filled	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""filled_qty_in_notices"": 1.0, ""notices"": [""accepted"", ""filled""]}"	ok	"{""filled_qty_in_notices"": 1.0, ""notices"": [""accepted"", ""filled""]}"	"{""filled_qty_in_notices"": 1.0}"	fills=[{'price': 100.0, 'qty': 1, 'commission': 0, 'dt': '2023-11-17 00:00:00'}]	null
opp_pyalgotrade	p4-visible-at-step	P0-4	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	ok	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	T0 + 4 日の onBars で getFeed()[銘柄].getCloseDataSeries() を読んだ	"{""reads"": [{""means"": ""getFeed()[銘柄].getCloseDataSeries()"", ""of"": null, ""returned"": [100.0, 101.0, 102.0, 103.0], ""touched"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dataseries/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/dataseries/bards.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/feed/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/strategy/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/pyalgotrade/lib/python3.11/site-packages/pyalgotrade/utils/collections.py""], ""touched_count"": 5}]}"
opp_pyalgotrade	p4-received-time	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""price101_delivered_at_ns"": 1700265600000000000, ""price101_visible_at_day2"": false, ""price101_visible_at_day4"": true}"	PyAlgoTrade のデータは bar feed(足)だけで、受け取れる時刻 の型は無い。試したこと: membf.BarFeed.addBarsFromSequence に ['open'] の辞書を渡して走らせた -> AttributeError: 'dict' object has no attribute 'getDateTime'(1 本の足に時刻は 1 つ)	null
