scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	正解と一致		243764fee27278ab	正解と一致		243764fee27278ab	2 回の実行で同じ	0.001	0.001
c2-1-limit	C2-1	値	正解と一致		6b6a9d1d4bac054b	正解と一致		6b6a9d1d4bac054b	2 回の実行で同じ	0.001	0.001
c2-1-postonly	C2-1	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に post_only が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に IOC が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に FOK が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に stop が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に stop が無い	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に reduce_only が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に oco が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に oco が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	正解と一致		b34d43b23d64e77f	正解と一致		b34d43b23d64e77f	2 回の実行で同じ	0.0	0.001
c2-2-amend-price	C2-2	値	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に amend が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に amend が無い	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	結果なし	adapter: IsaacCheng9/order-book-simulator: 段 4 を選ぶ口が無い(照合の機関の埋まり方は注文の列の価格と時間の優先 = 段 5 だけ)	-	結果なし	adapter: IsaacCheng9/order-book-simulator: 段 4 を選ぶ口が無い(照合の機関の埋まり方は注文の列の価格と時間の優先 = 段 5 だけ)	-	結果なし	0.0	0.0
c2-3-tick	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0	b53ae2e394fd543d	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0	b53ae2e394fd543d	2 回の実行で同じ	0.001	0.001
c2-3-minqty	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	9573e4d0147579b2	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	9573e4d0147579b2	2 回の実行で同じ	0.0	0.0
c2-3-round	C2-3	能力	不一致	avg_px.o1: 期待 9990.0 / 出力 9990.7; avg_px.o2: 期待 10011.0 / 出力 10010.2	e0e3e1f0601a2212	不一致	avg_px.o1: 期待 9990.0 / 出力 9990.7; avg_px.o2: 期待 10011.0 / 出力 10010.2	e0e3e1f0601a2212	2 回の実行で同じ	0.001	0.001
